name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,free_throws_scored,free_throws_attempted,assists,3_point_scored,3_point_attempted,offensive_rebounds,defensive_rebounds,steals,blocks,turnover,5yrs
David Noel,68,11.6,2.7,1,2.6,0.5,0.6,1,0.3,0.8,0.6,1.2,0.4,0.1,0.6,0
Solomon Jones,58,11.5,3.3,1.1,2.2,1,1.3,0.2,0,0,0.8,1.5,0.2,0.7,0.4,1
Leon Powe,63,11.4,4.2,1.3,2.8,1.7,2.3,0.2,0,0,1.5,1.9,0.2,0.3,0.8,1
Hilton Armstrong,56,11.3,3.1,1.2,2.2,0.7,1.2,0.2,0,0,1,1.6,0.2,0.5,0.6,1
Josh Boone,61,11,4.2,1.6,2.8,0.9,1.7,0.2,0,0,1,1.8,0.2,0.3,0.5,0
Lynn Greer,41,10.5,4.1,1.5,3.4,0.7,0.8,1.3,0.4,1.3,0,0.6,0.4,0,0.4,0
Chris Quinn,42,9.7,3.4,1.1,3.1,0.6,0.9,1.5,0.5,1.4,0.1,0.6,0.4,0,0.5,1
Anthony Brown,29,20.7,4,1.3,4.3,0.6,0.7,0.7,0.7,2.4,0.3,2.1,0.5,0.2,0.5,0
Quincy Douby,42,8.5,2.8,1.1,3,0.3,0.4,0.4,0.3,1.2,0.3,0.6,0.4,0.1,0.4,0
Hassan Adams,61,8.1,2.9,1.2,2.2,0.4,0.6,0.2,0,0,0.6,0.7,0.3,0.1,0.4,0
Bobby Jones,44,7.6,2.5,1,2.1,0.5,0.9,0.4,0,0.2,0.5,0.8,0.3,0,0.4,1
Andre Brown,38,7.1,2.4,1.1,1.9,0.2,0.4,0.1,0,0,0.7,1.3,0.2,0.1,0.8,0
Steve Novak,35,5.5,1.5,0.5,1.4,0.1,0.1,0.2,0.4,1.1,0.1,0.6,0.1,0,0.1,1
Chris Paul,78,36,16.1,5.2,12.1,5.1,6,7.8,0.6,2.3,0.8,4.3,2.2,0.1,2.4,1
Raymond Felton,80,30.1,11.9,4.3,11,2,2.8,5.6,1.2,3.4,1,2.4,1.3,0.1,2.3,1
Charlie Villanueva,81,29.1,13,5.4,11.6,1.4,2,1.1,0.9,2.6,2.2,4.2,0.7,0.8,1.2,1
Luther Head,80,28.9,8.8,3.2,7.9,1.1,1.5,2.7,1.4,3.9,0.4,2.9,1.1,0.1,1.5,1
Deron Williams,80,28.8,10.8,4.2,10.1,1.2,1.7,4.5,1.1,2.7,0.4,2,0.8,0.2,1.8,1
Larry Nance Jr.,63,20.1,5.5,2.5,4.8,0.5,0.7,0.7,0,0.2,1.6,3.3,0.9,0.4,0.7,0
Marvin Williams,79,24.7,8.5,3,6.7,2.4,3.2,0.8,0.2,0.7,1.5,3.3,0.6,0.3,1.1,1
Channing Frye,65,24.2,12.3,4.7,9.8,2.9,3.5,0.8,0,0.1,2.1,3.6,0.5,0.7,1.5,1
Danny Granger,78,22.6,7.5,2.8,6.1,1.5,1.9,1.2,0.4,1.2,1.7,3.2,0.7,0.8,1,1
Ryan Gomes,61,22.6,7.6,2.8,5.8,1.8,2.4,1,0,0.1,1.7,3.2,0.6,0.1,0.9,1
Nate Robinson,72,21.4,9.3,3.2,7.8,2.1,2.8,2,0.8,2,0.8,1.5,0.8,0,1.6,1
Salim Stoudamire,61,20.3,9.7,3.3,8.1,1.6,1.8,1.2,1.3,3.5,0.2,1.7,0.4,0.1,1.3,0
Jarrett Jack,79,20.2,6.7,2.4,5.4,1.6,2,2.8,0.3,1,0.2,1.8,0.5,0,1.3,1
T.J. McConnell,81,19.8,6.1,2.7,5.7,0.3,0.5,4.5,0.4,1.1,0.5,2.6,1.2,0.1,1.7,0
Joey Graham,80,19.8,6.7,2.5,5.2,1.4,1.7,0.8,0.4,1.1,0.7,2.3,0.5,0.2,1.1,1
Monta Ellis,49,18.1,6.8,2.7,6.5,0.9,1.2,1.6,0.6,1.7,0.4,1.7,0.7,0.2,1.2,1
Martell Webster,61,17.5,6.6,2.3,5.7,1,1.2,0.6,1.1,3,0.5,1.7,0.3,0.2,0.7,1
Rashad McCants,79,17.2,7.9,3.1,6.8,1,1.3,0.8,0.8,2.3,0.4,1.4,0.6,0.3,1.1,0
David Lee,67,16.9,5.1,2,3.4,1.1,1.8,0.6,0,0,1.6,2.9,0.5,0.3,0.8,1
Alan Anderson,36,15.7,5.8,2.1,5,0.9,1.1,0.9,0.7,1.6,0.6,1.3,0.3,0.1,0.9,1
Orien Greene,80,15.4,3.2,1.3,3.2,0.6,0.9,1.6,0.1,0.5,0.5,1.4,1,0.1,1.4,0
Ike Diogu,69,14.9,7,2.5,4.8,2,2.4,0.4,0,0,1.4,1.9,0.2,0.4,1.1,1
Daniel Ewing,66,14.7,3.8,1.5,3.9,0.5,0.7,1.3,0.3,1.2,0.3,0.9,0.6,0.1,0.9,0
Gerald Fitch,18,13.3,4.7,1.7,4.9,0.9,1.3,1.8,0.4,1.4,0.4,1.3,0.4,0.3,0.8,0
James Singleton,59,12.8,3.4,1.3,2.6,0.7,0.8,0.5,0.2,0.3,1.1,2.3,0.3,0.4,0.5,1
Josh Powell,37,11.6,3,1,2.2,1,1.2,0.2,0,0,0.8,1.4,0.2,0.1,0.6,1
Hakim Warrick,68,10.6,4.1,1.5,3.4,1.1,1.7,0.4,0,0,0.6,1.5,0.2,0.3,0.8,1
Wayne Simien,43,9.6,3.4,1.3,2.8,0.7,0.8,0.2,0,0,0.9,1.2,0.3,0,0.6,0
Antoine Wright,39,9.5,1.8,0.7,2.1,0.3,0.6,0.3,0,0.4,0.2,0.6,0.1,0.1,0.5,1
Donell Taylor,51,9.1,2.7,1,2.7,0.6,0.8,0.9,0.1,0.3,0.3,0.7,0.6,0.1,0.7,0
C.J. Miles,23,8.8,3.4,1.2,3.3,0.8,1,0.7,0.2,0.9,0.8,0.9,0.3,0.1,0.4,1
Malcolm Brogdon,32,22.9,8.3,3.2,6.9,0.9,1.1,3.6,0.9,2.1,0.4,2.1,1,0.1,1.5,0
Kevin Burleson,39,8.7,1.8,0.6,2.3,0.4,0.4,1.2,0.3,1.4,0.1,0.6,0.7,0.1,0.6,0
Shavlik Randolph,57,8.5,2.3,0.8,1.7,0.8,1.2,0.3,0,0,1,1.4,0.3,0.2,0.4,1
Andrew Bynum,46,7.3,1.6,0.7,1.8,0.2,0.6,0.2,0,0,0.7,1,0.1,0.5,0.4,1
Lawrence Roberts,33,5.5,1.5,0.6,1.3,0.3,0.7,0.2,0,0.1,0.8,0.7,0.2,0.1,0.1,0
Emeka Okafor,73,35.6,15.1,6.1,13.7,2.9,4.7,0.9,0,0,3.8,7.1,0.8,1.7,1.7,1
Andre Iguodala,82,32.8,9,3.3,6.7,1.9,2.6,3,0.6,1.7,1.1,4.6,1.7,0.6,1.7,1
Dwight Howard,82,32.6,12,4.3,8.3,3.4,5,0.9,0,0,3.5,6.5,0.9,1.7,2,1
Josh Childress,80,29.7,10.1,3.8,8,2.4,2.9,1.9,0.2,0.7,2.4,3.6,0.9,0.4,1.3,1
Josh Smith,74,27.7,9.7,3.7,8.1,2.2,3.2,1.7,0.1,0.3,2,4.2,0.8,1.9,1.8,1
Chris Duhon,82,26.5,5.9,2.1,6,0.6,0.8,4.9,1.1,3.2,0.3,2.3,1,0,1.4,1
J.R. Smith,76,24.5,10.3,3.9,9.8,1.5,2.1,1.9,1.1,3.7,0.5,1.5,0.7,0.1,1.4,1
Quinton Ross,78,21.3,5.1,2.1,4.8,0.9,1.4,1.4,0,0.1,0.8,1.9,0.7,0.3,0.7,1
Jameer Nelson,79,20.4,8.7,3.6,7.9,0.9,1.4,3,0.6,1.8,0.7,1.8,1,0,1.5,1
Bobby Portis,62,17.8,7,3,7,0.8,1.1,0.8,0.3,0.8,2,3.5,0.4,0.3,0.9,0
Sebastian Telfair,68,19.6,6.8,2.5,6.3,1.5,2,3.3,0.3,1,0.1,1.4,0.5,0.1,1.8,1
Matt Freije,23,19.2,4,1.6,5.5,0.2,0.3,0.9,0.6,2.3,0.7,2,0.6,0.1,0.7,0
Matt Bonner,82,18.9,7.2,3,5.6,0.7,0.9,0.6,0.5,1.1,1.3,2.2,0.5,0.2,0.5,1
David Harrison,43,17.7,6.1,2.5,4.3,1.2,2.1,0.3,0,0,1.1,2,0.4,1.3,1.2,0
Trevor Ariza,80,17.3,5.9,2.2,4.9,1.5,2.2,1.1,0,0.2,1.1,1.9,0.9,0.2,0.9,1
Nick Collison,82,17,5.6,2.3,4.3,1,1.4,0.4,0,0,1.9,2.7,0.4,0.6,0.8,1
Tony Allen,77,16.4,6.4,2.4,5,1.5,2,0.8,0.2,0.4,1.1,1.8,1,0.3,1,1
Devin Harris,76,15.4,5.7,2.1,4.8,1,1.4,2.2,0.6,1.7,0.4,1,1,0.3,1.1,1
Jackson Vroman,46,15.3,4.6,1.8,4.3,1,1.6,0.9,0,0.1,1.4,2.4,0.5,0.4,1.4,0
Al Jefferson,71,14.8,6.7,2.7,5.2,1.2,1.9,0.3,0,0,1.7,2.7,0.3,0.8,0.9,1
Billy Thomas,25,14.2,3.7,1.4,3.8,0.3,0.4,0.7,0.7,2.2,0.3,1.2,0.6,0,0.4,0
Kirk Snyder,68,13.3,5,1.8,4.8,0.9,1.4,0.5,0.4,1.3,0.7,1,0.4,0.3,0.8,0
Royal Ivey,62,13,3.5,1.4,3.2,0.8,1.1,1.7,0,0.1,0.3,1,0.6,0.1,0.9,1
Kris Humphries,67,13,4.1,1.7,4.3,0.7,1.5,0.6,0,0.1,1.1,1.9,0.4,0.3,0.8,1
Delonte West,39,13,4.5,1.7,4,0.5,0.7,1.4,0.6,1.7,0.4,1.3,0.5,0.2,0.6,1
Andre Barrett,38,12.7,3.1,1.2,3.3,0.4,0.5,1.8,0.4,1.4,0.3,0.8,0.5,0,0.7,0
Lionel Chalmers,36,12,3.1,1.2,3.5,0.4,0.7,1.4,0.3,1.4,0.1,0.8,0.4,0,0.7,0
Jerian Grant,76,16.6,5.6,2,5.1,1.3,1.6,2.3,0.3,1.3,0.3,1.6,0.7,0.1,1.1,0
Donta Smith,38,11.4,3.3,1.2,3,0.9,1.3,1,0.2,0.6,0.5,0.9,0.6,0.1,0.7,0
James Thomas,11,10.6,2.4,1.1,1.8,0.2,0.5,0.4,0,0,1.5,1.8,0.4,0.4,0.6,0
Kevin Martin,45,10.1,2.9,1,2.6,0.8,1.2,0.5,0.1,0.6,0.6,0.6,0.4,0.1,0.5,1
LeBron James,79,39.5,20.9,7.9,18.9,4.4,5.8,5.9,0.8,2.7,1.3,4.2,1.6,0.7,3.5,1
Carmelo Anthony,82,36.5,21,7.6,17.9,5,6.4,2.8,0.8,2.6,2.2,3.8,1.2,0.5,3,1
Kirk Hinrich,76,35.6,12,4.2,10.8,1.8,2.2,6.8,1.9,4.9,0.6,2.9,1.3,0.3,2.7,1
Dwyane Wade,61,34.9,16.2,6.1,13.1,3.8,5.1,4.5,0.3,0.9,1.4,2.7,1.4,0.6,3.2,1
Chris Bosh,75,33.5,11.5,4.4,9.5,2.7,3.8,1,0.1,0.2,2.5,4.9,0.8,1.4,1.4,1
Jarvis Hayes,70,29.2,9.6,4,9.9,1.1,1.4,1.5,0.6,1.9,1,2.8,1,0.2,1.6,1
T.J. Ford,55,26.8,7.1,2.8,7.2,1.5,1.8,6.5,0.1,0.4,0.7,2.5,1.1,0.1,2.5,1
Keith Bogans,73,24.5,6.8,2.5,6.2,0.9,1.4,1.3,0.9,2.6,1.5,2.9,0.6,0.1,1,1
Udonis Haslem,75,23.9,7.3,2.7,6,1.9,2.4,0.7,0,0,2.5,3.8,0.4,0.3,1,1
Josh Howard,67,23.7,8.6,3.4,7.9,1.4,2.1,1.4,0.3,1,2.2,3.3,1,0.8,1,1
Chris Kaman,82,22.5,6.1,2.4,5.3,1.2,1.7,1,0,0,1.5,4.1,0.3,0.9,1.9,1
Tyus Jones,37,15.5,4.2,1.5,4.2,0.8,1.1,2.9,0.4,1.4,0.2,1.1,0.8,0.1,0.9,0
Matt Barnes,38,19.1,4.5,1.7,3.6,1.1,1.6,1.3,0.1,0.3,1.4,2.6,0.7,0.1,1.2,1
Ronald Dupree,47,19,6.2,2.4,6,1.4,2.2,1.2,0.1,0.2,1.2,2.4,0.7,0.4,1.1,1
Steve Blake,75,18.6,5.9,2.1,5.4,0.7,0.9,2.8,1,2.7,0.2,1.3,0.8,0.1,1.7,1
Marquis Daniels,56,18.6,8.5,3.6,7.3,1.1,1.4,2.1,0.2,0.6,1.2,1.4,0.9,0.2,0.8,1
Linton Johnson,41,17.9,4.2,1.8,5,0.5,0.9,0.7,0.2,0.8,1.4,3,0.9,0.8,0.9,1
Marcus Banks,81,17.1,5.9,2.2,5.5,1.2,1.6,2.2,0.3,1.1,0.4,1.3,1.1,0.2,1.5,1
Luke Ridnour,69,16.1,5.5,2.1,5.1,0.9,1.1,2.4,0.4,1.2,0.5,1.1,0.8,0.1,1.2,1
Willie Green,53,14.5,6.9,2.7,6.7,1.1,1.5,1,0.4,1.2,0.3,0.9,0.5,0.1,1.1,1
Chris McCullough,24,15.1,4.7,1.8,4.5,0.5,1,0.4,0.5,1.4,1,1.8,1.2,0.5,0.6,0
Mo Williams,57,13.5,5,2,5.3,0.8,1,1.3,0.2,0.7,0.4,0.9,0.5,0,0.9,1
David West,71,13.1,3.8,1.5,3.2,0.8,1.1,0.8,0,0,1.6,2.5,0.4,0.4,0.7,1
Brian Cook,35,12.6,4.4,1.9,4,0.6,0.8,0.6,0,0.1,0.9,2,0.5,0.5,0.5,1
Travis Hansen,41,12.4,3,1.1,3.2,0.5,0.7,0.5,0.2,0.7,0.7,1,0.2,0.2,0.4,0
Kyle Korver,74,11.9,4.5,1.6,4.4,0.3,0.3,0.5,1.1,2.8,0.4,1.1,0.3,0.1,0.6,1
Norman Powell,49,14.8,5.6,2,4.7,0.9,1.1,1,0.7,1.8,0.3,1.9,0.6,0.2,0.7,0
Brandon Hunter,36,11.3,3.5,1.5,3.2,0.5,1.2,0.5,0,0.1,1.4,1.9,0.4,0,0.6,0
Jason Kapono,41,10.4,3.5,1.3,3.1,0.5,0.6,0.3,0.5,1.1,0.5,0.9,0.3,0.1,0.5,1
Luke Walton,72,10.1,2.4,0.9,2.1,0.4,0.6,1.6,0.2,0.5,0.5,1.2,0.4,0.1,0.6,1
Reece Gaines,38,9.6,1.8,0.7,2.3,0.4,0.7,1.1,0.1,0.3,0.2,0.8,0.3,0.1,0.5,0
Richie Frahm,54,8.7,3.4,1.2,2.6,0.4,0.5,0.4,0.6,1.7,0.2,0.8,0.3,0.1,0.1,0
Matt Carroll,16,4.4,1.2,0.4,1,0.3,0.4,0.1,0.1,0.2,0.1,0.3,0.1,0,0.4,1
Caron Butler,78,36.6,15.4,5.5,13.2,4,4.8,2.7,0.4,1.4,1.7,3.4,1.8,0.4,2.5,1
Jonathon Simmons,55,14.8,6,2.2,4.4,1.3,1.7,1.1,0.3,0.9,0.3,1.5,0.4,0.1,1,0
Amar'e Stoudemire,82,31.3,13.5,4.8,10.1,3.9,5.9,1,0,0.1,3,5.7,0.8,1.1,2.3,1
Dajuan Wagner,47,29.5,13.4,4.7,12.9,2.7,3.4,2.8,1.2,3.7,0.4,1.3,0.8,0.1,1.8,0
Drew Gooden,70,26.8,12.5,5.1,11.1,2.2,3,1.2,0.2,0.7,2.3,4.2,0.8,0.5,2.1,1
Jay Williams,75,26.1,9.5,3.6,9.1,1.4,2.1,4.7,0.9,2.7,0.4,2.2,1.1,0.2,2.3,0
Carlos Rogers,81,25.3,10,4.1,7.6,1.8,2.4,1.3,0,0,2.5,5,0.7,0.6,1.3,1
Carlos Rogers,49,20.8,8.9,3.7,6.9,1.6,3,0.8,0,0.3,2.2,3.5,0.5,1.1,1.7,1
Junior Harrington,82,24.4,5.1,2.1,5.7,0.9,1.4,3.4,0.1,0.3,0.5,2.5,1,0.2,1.9,0
J.R. Bremer,64,23.5,8.3,2.7,7.3,1.3,1.7,2.6,1.6,4.5,0.3,2,0.6,0.1,0.9,0
Dorian Finney-Smith,33,22.8,5.2,1.9,4.6,0.6,0.8,1,0.9,2.8,0.7,2.2,0.6,0.3,0.7,0
Rashad Vaughn,70,14.3,3.1,1.2,3.8,0.2,0.2,0.6,0.6,2.1,0.2,1.1,0.4,0.2,0.4,0
Vincent Yarbrough,59,23.4,6.9,2.8,7.3,0.8,1.1,2.2,0.4,1.3,0.6,2.1,1,0.6,1.4,0
Rasual Butler,72,21,7.5,2.9,7.9,1.1,1.4,1.3,0.7,2.4,0.4,2.2,0.3,0.6,1.1,1
Reggie Evans,67,20.4,3.2,1,2.1,1.2,2.3,0.5,0,0,2.5,4.1,0.6,0.2,0.8,1
Smush Parker,66,16.7,6.2,2.1,5.1,1.5,1.8,2.5,0.6,1.8,0.4,1.4,0.7,0.2,2,1
Mike Batiste,75,16.6,6.4,2.6,6.2,0.9,1.2,0.7,0.2,1.1,1.1,2.3,0.6,0.2,0.9,0
Mike Dunleavy,82,15.9,5.7,2,5.1,1,1.2,1.3,0.6,1.8,0.8,1.8,0.7,0.2,1.1,1
Jarell Martin,27,14.1,5.7,2,4.3,1.7,2.3,0.6,0,0.1,1.4,1.7,0.3,0.3,0.7,0
Casey Jacobsen,72,15.9,5.1,1.7,4.5,1,1.5,1,0.7,2.3,0.4,0.8,0.5,0.1,0.8,0
Juan Dixon,42,15.4,6.4,2.5,6.5,0.9,1.1,1,0.6,2,0.3,1.4,0.6,0.1,1,1
Melvin Ely,52,15.4,4.5,1.8,3.6,1,1.4,0.3,0,0,1.2,2.1,0.2,0.6,1,1
Mike Wilks,46,15,3.2,1.1,3.2,0.8,1,2,0.2,0.8,0.4,1.1,0.6,0.1,0.6,1
Sean Lampley,35,13.9,4.8,1.6,3.7,1.6,2.3,0.9,0,0.1,0.7,1.6,0.2,0.1,0.7,0
Chris Jefferies,51,13.1,3.9,1.5,3.8,0.6,0.8,0.4,0.4,1.1,0.3,0.8,0.4,0.3,0.9,0
Lonny Baxter,55,12.4,4.8,1.7,3.7,1.3,1.9,0.3,0,0,1.2,1.8,0.2,0.4,0.8,0
Juaquin Hawkins,58,11.8,2.3,1,2.6,0.2,0.3,0.8,0.2,0.4,0.3,1.1,0.5,0.1,0.5,0
Richaun Holmes,51,13.8,5.6,2.2,4.4,1,1.5,0.6,0.2,0.9,1.2,1.4,0.4,0.8,0.6,0
Kareem Rush,76,11.5,3,1.3,3.2,0.2,0.3,0.9,0.3,0.9,0.3,0.9,0.1,0.1,0.8,1
Marcus Haislip,39,11.3,4.1,1.7,3.9,0.7,1,0.2,0.1,0.3,0.5,0.8,0.2,0.5,0.5,0
Chris Wilcox,46,10.4,3.7,1.6,3,0.5,1.1,0.5,0,0,0.7,1.6,0.1,0.3,0.6,1
Dan Dickau,50,10.3,3.7,1.4,3.4,0.4,0.5,1.7,0.4,1.2,0.2,0.7,0.3,0,1.1,1
Tayshaun Prince,42,10.4,3.3,1.3,2.8,0.3,0.4,0.6,0.5,1.1,0.1,1,0.2,0.3,0.5,1
Ryan Humphrey,48,9.3,1.9,0.7,2.5,0.5,0.8,0.2,0,0,0.7,1.4,0.2,0.4,0.5,0
John Salmons,64,7.9,2.1,0.8,1.8,0.4,0.5,0.7,0.2,0.5,0.3,0.7,0.3,0.1,0.5,1
Tamar Slay,36,7.6,2.6,1.1,2.9,0.2,0.3,0.4,0.2,0.7,0.2,0.6,0.4,0.1,0.6,0
Qyntel Woods,53,6.3,2.4,1.1,2.2,0.1,0.4,0.2,0.1,0.2,0.3,0.7,0.3,0,0.4,0
Cameron Payne,57,12.2,5,2,4.9,0.3,0.4,1.9,0.6,1.9,0.2,1.3,0.6,0.1,0.8,0
Adam Harrington,19,5.8,1.6,0.6,1.9,0.2,0.2,0.6,0.3,0.7,0.1,0.4,0.1,0.1,0.1,0
Shane Battier,78,39.7,14.4,5.3,12.3,2.5,3.6,2.8,1.3,3.5,2.3,3.1,1.6,1,2,1
Jason Richardson,80,32.9,14.4,5.8,13.6,1.8,2.6,3,1,3.1,1.6,2.7,1.3,0.4,2,1
Jamaal Tinsley,80,30.5,9.4,3.6,9.5,1.6,2.3,8.1,0.5,2.2,1,2.8,1.7,0.5,3.4,1
Sonny Parker,77,29.4,9.2,3.5,8.3,1.4,2.1,4.3,0.8,2.5,0.4,2.1,1.2,0.1,2,1
Trenton Hassell,78,28.7,8.7,3.4,8.1,1.1,1.5,2.2,0.8,2.1,0.8,2.4,0.7,0.6,1.3,1
Justin Anderson,55,11.8,3.8,1.3,3.2,0.8,1,0.5,0.4,1.5,0.3,2.1,0.3,0.5,0.4,0
Eddie Griffin,73,26,8.8,3.3,9.1,0.9,1.2,0.7,1.2,3.7,1.6,4.1,0.2,1.8,0.6,1
Joe Johnson,77,24.9,7.5,3.3,7.6,0.5,0.7,2.3,0.5,1.7,1,2.4,0.8,0.3,0.9,1
Gilbert Arenas,47,24.6,10.9,3.7,8.2,2.6,3.4,3.7,0.8,2.4,0.9,1.9,1.5,0.2,2.1,1
Richard Jefferson,79,24.3,9.4,3.4,7.5,2.4,3.4,1.8,0.2,0.7,1.1,2.6,0.8,0.6,1.4,1
Speedy Claxton,67,22.8,7.2,2.7,6.7,1.7,2,3,0.1,0.5,0.7,1.7,1.4,0.1,1.4,1
Jarron Collins,70,20.6,6.4,2.3,4.9,1.9,2.6,0.8,0,0,2,2.3,0.4,0.3,0.8,1
Brendan Haywood,62,20.4,5.1,1.8,3.6,1.6,2.6,0.5,0,0,2.3,2.9,0.3,1.5,0.8,1
Tyson Chandler,71,19.6,6.1,2.1,4.3,1.9,3.1,0.8,0,0,1.6,3.2,0.4,1.3,1.4,1
Jason Collins,77,18.3,4.5,1.5,3.6,1.5,2.1,1.1,0,0,1.7,2.2,0.4,0.6,0.9,1
Troy Murphy,82,17.7,5.9,2.2,5.2,1.5,1.9,0.9,0,0.1,1.2,2.7,0.4,0.3,1,1
Terence Morris,68,16.3,3.8,1.6,4.3,0.3,0.4,0.9,0.2,1.1,1.1,2,0.3,0.4,0.7,0
Eddy Curry,72,16,6.7,2.6,5.2,1.5,2.2,0.3,0,0,1.5,2.2,0.2,0.7,1,1
Kenny Satterfield,36,15.6,5.3,2,5.5,1,1.3,3,0.2,0.8,0.5,1,0.9,0,1.5,0
Earl Watson,64,15.1,3.6,1.5,3.3,0.4,0.6,2,0.3,0.7,0.5,0.8,0.9,0.1,0.8,1
Kwame Brown,57,14.3,4.5,1.6,4.3,1.2,1.7,0.8,0,0,1.1,2.4,0.3,0.5,0.8,1
Will Solomon,62,14.1,5.2,1.8,5.3,0.8,1.2,1.5,0.7,2.6,0.2,0.9,0.6,0.1,1,0
Lamar Patterson,35,11.3,2.4,0.8,2.3,0.5,0.6,1.1,0.3,1.4,0.1,1.3,0.3,0.1,0.7,0
Etan Thomas,47,13.1,4.3,1.7,3.2,0.9,1.6,0.1,0,0,1.2,2.7,0.4,0.7,0.6,1
Tierre Brown,40,10.1,3.1,1.2,2.9,0.5,0.7,1.8,0.1,0.3,0.3,0.8,0.5,0.1,1,0
Steven Hunter,53,9.7,3.6,1.3,2.8,1,1.8,0.1,0,0,0.8,1.1,0.1,0.8,0.3,1
Loren Woods,60,8.6,1.8,0.6,1.6,0.7,1,0.4,0,0,0.8,1.3,0.3,0.6,0.6,1
Alton Ford,53,8.5,3.1,1.2,2.2,0.8,1.1,0.1,0,0,0.6,1.4,0.1,0.1,0.6,0
Gerald Wallace,54,8,3.2,1.4,3.2,0.4,0.9,0.5,0,0.1,0.9,0.7,0.3,0.1,0.4,1
Joe Crispin,21,7.4,3.8,1.2,3.2,0.6,0.6,1.2,0.7,1.9,0.1,0.4,0.2,0,0.5,0
Zach Randolph,41,5.8,2.8,1.2,2.6,0.4,0.7,0.3,0,0,0.8,0.9,0.2,0.1,0.4,1
Brandon Armstrong,35,5.6,1.8,0.8,2.4,0.1,0.3,0.2,0.1,0.5,0.3,0.2,0.2,0,0.2,0
Willie Reed,39,10.9,4.7,1.9,3.4,0.8,1.4,0.3,0,0,1.3,1.9,0.1,0.8,0.4,0
Kenyon Martin,68,33.4,12,5.1,11.4,1.8,2.8,1.9,0,0.2,2,5.4,1.1,1.7,2,1
Marc Jackson,48,29.4,13.2,4.9,10.6,3.2,4,1.2,0.1,0.5,2.5,5,0.7,0.6,1.9,1
Mike Miller,82,29.1,11.9,4.5,10.3,1.1,1.6,1.7,1.8,4.4,0.8,3.2,0.6,0.2,1.2,1
Darius Miles,81,26.3,9.4,3.9,7.8,1.5,2.9,1.2,0,0.2,1.6,4.3,0.6,1.5,1.8,1
Morris Peterson,80,22.6,9.3,3.6,8.4,1.3,1.8,1.3,0.8,2.1,1.4,1.8,0.8,0.3,1,1
Chris Porter,51,22.5,8.6,3.4,8.7,1.8,2.8,1.2,0,0.1,1.7,2,0.9,0.1,1.2,0
Marcus Fizer,72,21.9,9.5,3.9,9,1.6,2.2,1.1,0.1,0.5,1.1,3.3,0.4,0.3,1.7,1
Stephen Jackson,77,21.6,8.2,3.2,7.4,1.3,1.8,1.8,0.7,2,0.5,2.2,1.1,0.2,1.7,1
Courtney Alexander,65,21.3,9.5,3.7,8.8,1.9,2.3,1,0.3,0.7,0.6,1.6,0.7,0.1,1.1,0
Chris Mihm,59,19.8,7.6,2.9,6.6,1.7,2.1,0.3,0,0,1.8,2.9,0.3,0.9,1.4,1
Kelly Oubre,63,10.7,3.7,1.4,3.3,0.5,0.8,0.2,0.4,1.3,0.4,1.7,0.3,0.1,0.5,0
Desmond Mason,78,19.5,5.9,2.4,5.6,0.9,1.2,0.8,0.2,0.9,0.9,2.3,0.5,0.3,0.7,1
Khalid El-Amin,50,18.7,6.3,2.3,6.2,1.1,1.4,2.9,0.6,1.7,0.4,1.2,1,0,1.1,0
Quentin Richardson,76,17.9,8.1,3.1,6.9,1.3,2.1,0.8,0.7,2,1.4,2,0.6,0.1,0.8,1
Mark Blount,64,17.2,3.9,1.6,3.1,0.7,1,0.5,0,0,1.5,2.1,0.6,1.2,1,1
Jamal Crawford,61,17.2,4.6,1.8,5,0.4,0.6,2.3,0.7,1.9,0.1,1.3,0.7,0.2,1.4,1
DerMarr Johnson,78,16.8,5.1,1.9,5,0.8,1.1,0.8,0.5,1.6,0.7,1.6,0.6,0.4,1.2,1
Stromile Swift,80,16.4,4.9,1.9,4.2,1.1,1.8,0.4,0,0.1,1.4,2.2,0.8,1,0.8,1
Keyon Dooling,76,16.3,5.9,1.9,4.8,1.6,2.4,2.3,0.4,1.1,0.1,1.1,0.5,0.1,1.2,1
Mateen Cleaves,78,16.3,5.4,2.1,5.1,1.2,1.8,2.7,0.1,0.2,0.3,1.4,0.6,0,1.8,1
Mike Penberthy,53,16.1,5,1.7,4.2,0.5,0.6,1.3,1,2.6,0.2,1,0.4,0,0.6,0
Lee Nailon,42,11.2,3.9,1.6,3.2,0.8,1,0.6,0,0,0.7,1.5,0.2,0.1,0.6,1
Eddie House,50,11,5,2.1,4.9,0.5,0.7,1,0.4,1.1,0.1,0.7,0.3,0,0.7,1
Paul McPherson,55,10.8,4.8,2,3.9,0.8,1.1,0.7,0,0.2,0.7,0.7,0.5,0.1,0.8,0
Daniel Santiago,54,10.8,3.1,1.2,2.5,0.8,1.1,0.2,0,0,0.6,1.2,0.3,0.4,0.9,0
Isaiah Whitehead,25,22.6,6.7,2.6,6.4,0.9,1.2,3,0.5,1.8,0.2,2,0.7,0.5,2.2,0
Darrun Hilliard,38,10.1,4,1.4,3.4,0.8,1.1,0.7,0.5,1.3,0.1,1.1,0.2,0,0.5,0
Mark Madsen,70,9.2,2,0.8,1.6,0.4,0.5,0.3,0,0,1.1,1.1,0.1,0.1,0.4,1
