,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5Yrs,Unnamed: 0,id,name,season
876,Nick Collison,82,17.0,5.6,2.3,4.3,0.0,0.0,1.0,1.4,1.9,2.7,0.4,0.4,0.6,0.8,1,,,,
877,Tony Allen,77,16.4,6.4,2.4,5.0,0.2,0.4,1.5,2.0,1.1,1.8,0.8,1.0,0.3,1.0,1,,,,
878,Devin Harris,76,15.4,5.7,2.1,4.8,0.6,1.7,1.0,1.4,0.4,1.0,2.2,1.0,0.3,1.1,1,,,,
879,Jackson Vroman,46,15.3,4.6,1.8,4.3,0.0,0.1,1.0,1.6,1.4,2.4,0.9,0.5,0.4,1.4,0,,,,
880,Al Jefferson,71,14.8,6.7,2.7,5.2,0.0,0.0,1.2,1.9,1.7,2.7,0.3,0.3,0.8,0.9,1,,,,
881,Billy Thomas,25,14.2,3.7,1.4,3.8,0.7,2.2,0.3,0.4,0.3,1.2,0.7,0.6,0.0,0.4,0,,,,
882,Kirk Snyder,68,13.3,5.0,1.8,4.8,0.4,1.3,0.9,1.4,0.7,1.0,0.5,0.4,0.3,0.8,0,,,,
883,Royal Ivey,62,13.0,3.5,1.4,3.2,0.0,0.1,0.8,1.1,0.3,1.0,1.7,0.6,0.1,0.9,1,,,,
884,Kris Humphries,67,13.0,4.1,1.7,4.3,0.0,0.1,0.7,1.5,1.1,1.9,0.6,0.4,0.3,0.8,1,,,,
885,Delonte West,39,13.0,4.5,1.7,4.0,0.6,1.7,0.5,0.7,0.4,1.3,1.4,0.5,0.2,0.6,1,,,,
886,Andre Barrett,38,12.7,3.1,1.2,3.3,0.4,1.4,0.4,0.5,0.3,0.8,1.8,0.5,0.0,0.7,0,,,,
887,Lionel Chalmers,36,12.0,3.1,1.2,3.5,0.3,1.4,0.4,0.7,0.1,0.8,1.4,0.4,0.0,0.7,0,,,,
888,Jerian Grant,76,16.6,5.6,2.0,5.1,0.3,1.3,1.3,1.6,0.3,1.6,2.3,0.7,0.1,1.1,0,22.0,1626170.0,Jerian Grant,2015.0
889,Donta Smith,38,11.4,3.3,1.2,3.0,0.2,0.6,0.9,1.3,0.5,0.9,1.0,0.6,0.1,0.7,0,,,,
890,James Thomas,11,10.6,2.4,1.1,1.8,0.0,0.0,0.2,0.5,1.5,1.8,0.4,0.4,0.4,0.6,0,,,,
891,Kevin Martin,45,10.1,2.9,1.0,2.6,0.1,0.6,0.8,1.2,0.6,0.6,0.5,0.4,0.1,0.5,1,,,,
892,LeBron James,79,39.5,20.9,7.9,18.9,0.8,2.7,4.4,5.8,1.3,4.2,5.9,1.6,0.7,3.5,1,,,,
893,Carmelo Anthony,82,36.5,21.0,7.6,17.9,0.8,2.6,5.0,6.4,2.2,3.8,2.8,1.2,0.5,3.0,1,,,,
894,Kirk Hinrich,76,35.6,12.0,4.2,10.8,1.9,4.9,1.8,2.2,0.6,2.9,6.8,1.3,0.3,2.7,1,,,,
895,Dwyane Wade,61,34.9,16.2,6.1,13.1,0.3,0.9,3.8,5.1,1.4,2.7,4.5,1.4,0.6,3.2,1,,,,
896,Chris Bosh,75,33.5,11.5,4.4,9.5,0.1,0.2,2.7,3.8,2.5,4.9,1.0,0.8,1.4,1.4,1,,,,
897,Jarvis Hayes,70,29.2,9.6,4.0,9.9,0.6,1.9,1.1,1.4,1.0,2.8,1.5,1.0,0.2,1.6,1,,,,
898,T.J. Ford,55,26.8,7.1,2.8,7.2,0.1,0.4,1.5,1.8,0.7,2.5,6.5,1.1,0.1,2.5,1,,,,
899,Keith Bogans,73,24.5,6.8,2.5,6.2,0.9,2.6,0.9,1.4,1.5,2.9,1.3,0.6,0.1,1.0,1,,,,
900,Udonis Haslem,75,23.9,7.3,2.7,6.0,0.0,0.0,1.9,2.4,2.5,3.8,0.7,0.4,0.3,1.0,1,,,,
901,Josh Howard,67,23.7,8.6,3.4,7.9,0.3,1.0,1.4,2.1,2.2,3.3,1.4,1.0,0.8,1.0,1,,,,
902,Chris Kaman,82,22.5,6.1,2.4,5.3,0.0,0.0,1.2,1.7,1.5,4.1,1.0,0.3,0.9,1.9,1,,,,
903,Tyus Jones,37,15.5,4.2,1.5,4.2,0.4,1.4,0.8,1.1,0.2,1.1,2.9,0.8,0.1,0.9,0,,,,
904,Matt Barnes,38,19.1,4.5,1.7,3.6,0.1,0.3,1.1,1.6,1.4,2.6,1.3,0.7,0.1,1.2,1,,,,
905,Ronald Dupree,47,19.0,6.2,2.4,6.0,0.1,0.2,1.4,2.2,1.2,2.4,1.2,0.7,0.4,1.1,1,,,,
906,Steve Blake,75,18.6,5.9,2.1,5.4,1.0,2.7,0.7,0.9,0.2,1.3,2.8,0.8,0.1,1.7,1,,,,
907,Marquis Daniels,56,18.6,8.5,3.6,7.3,0.2,0.6,1.1,1.4,1.2,1.4,2.1,0.9,0.2,0.8,1,,,,
908,Linton Johnson,41,17.9,4.2,1.8,5.0,0.2,0.8,0.5,0.9,1.4,3.0,0.7,0.9,0.8,0.9,1,,,,
909,Marcus Banks,81,17.1,5.9,2.2,5.5,0.3,1.1,1.2,1.6,0.4,1.3,2.2,1.1,0.2,1.5,1,,,,
910,Luke Ridnour,69,16.1,5.5,2.1,5.1,0.4,1.2,0.9,1.1,0.5,1.1,2.4,0.8,0.1,1.2,1,,,,
911,Willie Green,53,14.5,6.9,2.7,6.7,0.4,1.2,1.1,1.5,0.3,0.9,1.0,0.5,0.1,1.1,1,,,,
912,Chris McCullough,24,15.1,4.7,1.8,4.5,0.5,1.4,0.5,1.0,1.0,1.8,0.4,1.2,0.5,0.6,0,28.0,1626191.0,Chris McCullough,2015.0
913,Mo Williams,57,13.5,5.0,2.0,5.3,0.2,0.7,0.8,1.0,0.4,0.9,1.3,0.5,0.0,0.9,1,,,,
914,David West,71,13.1,3.8,1.5,3.2,0.0,0.0,0.8,1.1,1.6,2.5,0.8,0.4,0.4,0.7,1,,,,
915,Brian Cook,35,12.6,4.4,1.9,4.0,0.0,0.1,0.6,0.8,0.9,2.0,0.6,0.5,0.5,0.5,1,,,,
916,Travis Hansen,41,12.4,3.0,1.1,3.2,0.2,0.7,0.5,0.7,0.7,1.0,0.5,0.2,0.2,0.4,0,,,,
917,Kyle Korver,74,11.9,4.5,1.6,4.4,1.1,2.8,0.3,0.3,0.4,1.1,0.5,0.3,0.1,0.6,1,,,,
918,Norman Powell,49,14.8,5.6,2.0,4.7,0.7,1.8,0.9,1.1,0.3,1.9,1.0,0.6,0.2,0.7,0,,,,
919,Brandon Hunter,36,11.3,3.5,1.5,3.2,0.0,0.1,0.5,1.2,1.4,1.9,0.5,0.4,0.0,0.6,0,,,,
920,Jason Kapono,41,10.4,3.5,1.3,3.1,0.5,1.1,0.5,0.6,0.5,0.9,0.3,0.3,0.1,0.5,1,,,,
921,Luke Walton,72,10.1,2.4,0.9,2.1,0.2,0.5,0.4,0.6,0.5,1.2,1.6,0.4,0.1,0.6,1,,,,
922,Reece Gaines,38,9.6,1.8,0.7,2.3,0.1,0.3,0.4,0.7,0.2,0.8,1.1,0.3,0.1,0.5,0,,,,
923,Richie Frahm,54,8.7,3.4,1.2,2.6,0.6,1.7,0.4,0.5,0.2,0.8,0.4,0.3,0.1,0.1,0,,,,
924,Matt Carroll,16,4.4,1.2,0.4,1.0,0.1,0.2,0.3,0.4,0.1,0.3,0.1,0.1,0.0,0.4,1,,,,
925,Caron Butler,78,36.6,15.4,5.5,13.2,0.4,1.4,4.0,4.8,1.7,3.4,2.7,1.8,0.4,2.5,1,,,,
926,Jonathon Simmons,55,14.8,6.0,2.2,4.4,0.3,0.9,1.3,1.7,0.3,1.5,1.1,0.4,0.1,1.0,0,17.0,203613.0,Jonathon Simmons,2015.0
927,Amar'e Stoudemire,82,31.3,13.5,4.8,10.1,0.0,0.1,3.9,5.9,3.0,5.7,1.0,0.8,1.1,2.3,1,,,,
928,Dajuan Wagner,47,29.5,13.4,4.7,12.9,1.2,3.7,2.7,3.4,0.4,1.3,2.8,0.8,0.1,1.8,0,,,,
929,Drew Gooden,70,26.8,12.5,5.1,11.1,0.2,0.7,2.2,3.0,2.3,4.2,1.2,0.8,0.5,2.1,1,,,,
930,Jay Williams,75,26.1,9.5,3.6,9.1,0.9,2.7,1.4,2.1,0.4,2.2,4.7,1.1,0.2,2.3,0,,,,
931,Carlos Rogers,81,25.3,10.0,4.1,7.6,0.0,0.0,1.8,2.4,2.5,5.0,1.3,0.7,0.6,1.3,1,,,,
932,Carlos Rogers,49,20.8,8.9,3.7,6.9,0.0,0.3,1.6,3.0,2.2,3.5,0.8,0.5,1.1,1.7,1,,,,
933,Junior Harrington,82,24.4,5.1,2.1,5.7,0.1,0.3,0.9,1.4,0.5,2.5,3.4,1.0,0.2,1.9,0,,,,
934,J.R. Bremer,64,23.5,8.3,2.7,7.3,1.6,4.5,1.3,1.7,0.3,2.0,2.6,0.6,0.1,0.9,0,,,,
935,Dorian Finney-Smith,33,22.8,5.2,1.9,4.6,0.9,2.8,0.6,0.8,0.7,2.2,1.0,0.6,0.3,0.7,0,,,,
936,Rashad Vaughn,70,14.3,3.1,1.2,3.8,0.6,2.1,0.2,0.2,0.2,1.1,0.6,0.4,0.2,0.4,0,41.0,1626173.0,Rashad Vaughn,2015.0
937,Vincent Yarbrough,59,23.4,6.9,2.8,7.3,0.4,1.3,0.8,1.1,0.6,2.1,2.2,1.0,0.6,1.4,0,,,,
938,Rasual Butler,72,21.0,7.5,2.9,7.9,0.7,2.4,1.1,1.4,0.4,2.2,1.3,0.3,0.6,1.1,1,,,,
939,Reggie Evans,67,20.4,3.2,1.0,2.1,0.0,0.0,1.2,2.3,2.5,4.1,0.5,0.6,0.2,0.8,1,,,,
940,Smush Parker,66,16.7,6.2,2.1,5.1,0.6,1.8,1.5,1.8,0.4,1.4,2.5,0.7,0.2,2.0,1,,,,
941,Mike Batiste,75,16.6,6.4,2.6,6.2,0.2,1.1,0.9,1.2,1.1,2.3,0.7,0.6,0.2,0.9,0,,,,
942,Mike Dunleavy,82,15.9,5.7,2.0,5.1,0.6,1.8,1.0,1.2,0.8,1.8,1.3,0.7,0.2,1.1,1,,,,
943,Jarell Martin,27,14.1,5.7,2.0,4.3,0.0,0.1,1.7,2.3,1.4,1.7,0.6,0.3,0.3,0.7,0,20.0,1626185.0,Jarell Martin,2015.0
944,Casey Jacobsen,72,15.9,5.1,1.7,4.5,0.7,2.3,1.0,1.5,0.4,0.8,1.0,0.5,0.1,0.8,0,,,,
945,Juan Dixon,42,15.4,6.4,2.5,6.5,0.6,2.0,0.9,1.1,0.3,1.4,1.0,0.6,0.1,1.0,1,,,,
946,Melvin Ely,52,15.4,4.5,1.8,3.6,0.0,0.0,1.0,1.4,1.2,2.1,0.3,0.2,0.6,1.0,1,,,,
947,Mike Wilks,46,15.0,3.2,1.1,3.2,0.2,0.8,0.8,1.0,0.4,1.1,2.0,0.6,0.1,0.6,1,,,,
948,Sean Lampley,35,13.9,4.8,1.6,3.7,0.0,0.1,1.6,2.3,0.7,1.6,0.9,0.2,0.1,0.7,0,,,,
949,Chris Jefferies,51,13.1,3.9,1.5,3.8,0.4,1.1,0.6,0.8,0.3,0.8,0.4,0.4,0.3,0.9,0,,,,
950,Lonny Baxter,55,12.4,4.8,1.7,3.7,0.0,0.0,1.3,1.9,1.2,1.8,0.3,0.2,0.4,0.8,0,,,,
951,Juaquin Hawkins,58,11.8,2.3,1.0,2.6,0.2,0.4,0.2,0.3,0.3,1.1,0.8,0.5,0.1,0.5,0,,,,
952,Richaun Holmes,51,13.8,5.6,2.2,4.4,0.2,0.9,1.0,1.5,1.2,1.4,0.6,0.4,0.8,0.6,0,,,,
953,Kareem Rush,76,11.5,3.0,1.3,3.2,0.3,0.9,0.2,0.3,0.3,0.9,0.9,0.1,0.1,0.8,1,,,,
954,Marcus Haislip,39,11.3,4.1,1.7,3.9,0.1,0.3,0.7,1.0,0.5,0.8,0.2,0.2,0.5,0.5,0,,,,
955,Chris Wilcox,46,10.4,3.7,1.6,3.0,0.0,0.0,0.5,1.1,0.7,1.6,0.5,0.1,0.3,0.6,1,,,,
956,Dan Dickau,50,10.3,3.7,1.4,3.4,0.4,1.2,0.4,0.5,0.2,0.7,1.7,0.3,0.0,1.1,1,,,,
957,Tayshaun Prince,42,10.4,3.3,1.3,2.8,0.5,1.1,0.3,0.4,0.1,1.0,0.6,0.2,0.3,0.5,1,,,,
958,Ryan Humphrey,48,9.3,1.9,0.7,2.5,0.0,0.0,0.5,0.8,0.7,1.4,0.2,0.2,0.4,0.5,0,,,,
959,John Salmons,64,7.9,2.1,0.8,1.8,0.2,0.5,0.4,0.5,0.3,0.7,0.7,0.3,0.1,0.5,1,,,,
960,Tamar Slay,36,7.6,2.6,1.1,2.9,0.2,0.7,0.2,0.3,0.2,0.6,0.4,0.4,0.1,0.6,0,,,,
961,Qyntel Woods,53,6.3,2.4,1.1,2.2,0.1,0.2,0.1,0.4,0.3,0.7,0.2,0.3,0.0,0.4,0,,,,
962,Cameron Payne,57,12.2,5.0,2.0,4.9,0.6,1.9,0.3,0.4,0.2,1.3,1.9,0.6,0.1,0.8,0,,,,
963,Adam Harrington,19,5.8,1.6,0.6,1.9,0.3,0.7,0.2,0.2,0.1,0.4,0.6,0.1,0.1,0.1,0,,,,
964,Shane Battier,78,39.7,14.4,5.3,12.3,1.3,3.5,2.5,3.6,2.3,3.1,2.8,1.6,1.0,2.0,1,,,,
965,Jason Richardson,80,32.9,14.4,5.8,13.6,1.0,3.1,1.8,2.6,1.6,2.7,3.0,1.3,0.4,2.0,1,,,,
966,Jamaal Tinsley,80,30.5,9.4,3.6,9.5,0.5,2.2,1.6,2.3,1.0,2.8,8.1,1.7,0.5,3.4,1,,,,
967,Sonny Parker,77,29.4,9.2,3.5,8.3,0.8,2.5,1.4,2.1,0.4,2.1,4.3,1.2,0.1,2.0,1,,,,
968,Trenton Hassell,78,28.7,8.7,3.4,8.1,0.8,2.1,1.1,1.5,0.8,2.4,2.2,0.7,0.6,1.3,1,,,,
969,Justin Anderson,55,11.8,3.8,1.3,3.2,0.4,1.5,0.8,1.0,0.3,2.1,0.5,0.3,0.5,0.4,0,,,,
970,Eddie Griffin,73,26.0,8.8,3.3,9.1,1.2,3.7,0.9,1.2,1.6,4.1,0.7,0.2,1.8,0.6,1,,,,
971,Joe Johnson,77,24.9,7.5,3.3,7.6,0.5,1.7,0.5,0.7,1.0,2.4,2.3,0.8,0.3,0.9,1,,,,
972,Gilbert Arenas,47,24.6,10.9,3.7,8.2,0.8,2.4,2.6,3.4,0.9,1.9,3.7,1.5,0.2,2.1,1,,,,
973,Richard Jefferson,79,24.3,9.4,3.4,7.5,0.2,0.7,2.4,3.4,1.1,2.6,1.8,0.8,0.6,1.4,1,,,,
974,Speedy Claxton,67,22.8,7.2,2.7,6.7,0.1,0.5,1.7,2.0,0.7,1.7,3.0,1.4,0.1,1.4,1,,,,
975,Jarron Collins,70,20.6,6.4,2.3,4.9,0.0,0.0,1.9,2.6,2.0,2.3,0.8,0.4,0.3,0.8,1,,,,
976,Brendan Haywood,62,20.4,5.1,1.8,3.6,0.0,0.0,1.6,2.6,2.3,2.9,0.5,0.3,1.5,0.8,1,,,,
977,Tyson Chandler,71,19.6,6.1,2.1,4.3,0.0,0.0,1.9,3.1,1.6,3.2,0.8,0.4,1.3,1.4,1,,,,
978,Jason Collins,77,18.3,4.5,1.5,3.6,0.0,0.0,1.5,2.1,1.7,2.2,1.1,0.4,0.6,0.9,1,,,,
979,Troy Murphy,82,17.7,5.9,2.2,5.2,0.0,0.1,1.5,1.9,1.2,2.7,0.9,0.4,0.3,1.0,1,,,,
980,Terence Morris,68,16.3,3.8,1.6,4.3,0.2,1.1,0.3,0.4,1.1,2.0,0.9,0.3,0.4,0.7,0,,,,
981,Eddy Curry,72,16.0,6.7,2.6,5.2,0.0,0.0,1.5,2.2,1.5,2.2,0.3,0.2,0.7,1.0,1,,,,
982,Kenny Satterfield,36,15.6,5.3,2.0,5.5,0.2,0.8,1.0,1.3,0.5,1.0,3.0,0.9,0.0,1.5,0,,,,
983,Earl Watson,64,15.1,3.6,1.5,3.3,0.3,0.7,0.4,0.6,0.5,0.8,2.0,0.9,0.1,0.8,1,,,,
984,Kwame Brown,57,14.3,4.5,1.6,4.3,0.0,0.0,1.2,1.7,1.1,2.4,0.8,0.3,0.5,0.8,1,,,,
985,Will Solomon,62,14.1,5.2,1.8,5.3,0.7,2.6,0.8,1.2,0.2,0.9,1.5,0.6,0.1,1.0,0,,,,
986,Lamar Patterson,35,11.3,2.4,0.8,2.3,0.3,1.4,0.5,0.6,0.1,1.3,1.1,0.3,0.1,0.7,0,44.0,203934.0,Lamar Patterson,2015.0
987,Etan Thomas,47,13.1,4.3,1.7,3.2,0.0,0.0,0.9,1.6,1.2,2.7,0.1,0.4,0.7,0.6,1,,,,
988,Tierre Brown,40,10.1,3.1,1.2,2.9,0.1,0.3,0.5,0.7,0.3,0.8,1.8,0.5,0.1,1.0,0,,,,
989,Steven Hunter,53,9.7,3.6,1.3,2.8,0.0,0.0,1.0,1.8,0.8,1.1,0.1,0.1,0.8,0.3,1,,,,
990,Loren Woods,60,8.6,1.8,0.6,1.6,0.0,0.0,0.7,1.0,0.8,1.3,0.4,0.3,0.6,0.6,1,,,,
991,Alton Ford,53,8.5,3.1,1.2,2.2,0.0,0.0,0.8,1.1,0.6,1.4,0.1,0.1,0.1,0.6,0,,,,
992,Gerald Wallace,54,8.0,3.2,1.4,3.2,0.0,0.1,0.4,0.9,0.9,0.7,0.5,0.3,0.1,0.4,1,,,,
993,Joe Crispin,21,7.4,3.8,1.2,3.2,0.7,1.9,0.6,0.6,0.1,0.4,1.2,0.2,0.0,0.5,0,,,,
994,Zach Randolph,41,5.8,2.8,1.2,2.6,0.0,0.0,0.4,0.7,0.8,0.9,0.3,0.2,0.1,0.4,1,,,,
995,Brandon Armstrong,35,5.6,1.8,0.8,2.4,0.1,0.5,0.1,0.3,0.3,0.2,0.2,0.2,0.0,0.2,0,,,,
996,Willie Reed,39,10.9,4.7,1.9,3.4,0.0,0.0,0.8,1.4,1.3,1.9,0.3,0.1,0.8,0.4,0,,,,
997,Kenyon Martin,68,33.4,12.0,5.1,11.4,0.0,0.2,1.8,2.8,2.0,5.4,1.9,1.1,1.7,2.0,1,,,,
998,Marc Jackson,48,29.4,13.2,4.9,10.6,0.1,0.5,3.2,4.0,2.5,5.0,1.2,0.7,0.6,1.9,1,,,,
999,Mike Miller,82,29.1,11.9,4.5,10.3,1.8,4.4,1.1,1.6,0.8,3.2,1.7,0.6,0.2,1.2,1,,,,
1000,Darius Miles,81,26.3,9.4,3.9,7.8,0.0,0.2,1.5,2.9,1.6,4.3,1.2,0.6,1.5,1.8,1,,,,
1001,Morris Peterson,80,22.6,9.3,3.6,8.4,0.8,2.1,1.3,1.8,1.4,1.8,1.3,0.8,0.3,1.0,1,,,,
1002,Chris Porter,51,22.5,8.6,3.4,8.7,0.0,0.1,1.8,2.8,1.7,2.0,1.2,0.9,0.1,1.2,0,,,,
1003,Marcus Fizer,72,21.9,9.5,3.9,9.0,0.1,0.5,1.6,2.2,1.1,3.3,1.1,0.4,0.3,1.7,1,,,,
1004,Stephen Jackson,77,21.6,8.2,3.2,7.4,0.7,2.0,1.3,1.8,0.5,2.2,1.8,1.1,0.2,1.7,1,,,,
1005,Courtney Alexander,65,21.3,9.5,3.7,8.8,0.3,0.7,1.9,2.3,0.6,1.6,1.0,0.7,0.1,1.1,0,,,,
1006,Chris Mihm,59,19.8,7.6,2.9,6.6,0.0,0.0,1.7,2.1,1.8,2.9,0.3,0.3,0.9,1.4,1,,,,
1007,Kelly Oubre,63,10.7,3.7,1.4,3.3,0.4,1.3,0.5,0.8,0.4,1.7,0.2,0.3,0.1,0.5,0,,,,
1008,Desmond Mason,78,19.5,5.9,2.4,5.6,0.2,0.9,0.9,1.2,0.9,2.3,0.8,0.5,0.3,0.7,1,,,,
1009,Khalid El-Amin,50,18.7,6.3,2.3,6.2,0.6,1.7,1.1,1.4,0.4,1.2,2.9,1.0,0.0,1.1,0,,,,
1010,Quentin Richardson,76,17.9,8.1,3.1,6.9,0.7,2.0,1.3,2.1,1.4,2.0,0.8,0.6,0.1,0.8,1,,,,
1011,Mark Blount,64,17.2,3.9,1.6,3.1,0.0,0.0,0.7,1.0,1.5,2.1,0.5,0.6,1.2,1.0,1,,,,
1012,Jamal Crawford,61,17.2,4.6,1.8,5.0,0.7,1.9,0.4,0.6,0.1,1.3,2.3,0.7,0.2,1.4,1,,,,
1013,DerMarr Johnson,78,16.8,5.1,1.9,5.0,0.5,1.6,0.8,1.1,0.7,1.6,0.8,0.6,0.4,1.2,1,,,,
1014,Stromile Swift,80,16.4,4.9,1.9,4.2,0.0,0.1,1.1,1.8,1.4,2.2,0.4,0.8,1.0,0.8,1,,,,
1015,Keyon Dooling,76,16.3,5.9,1.9,4.8,0.4,1.1,1.6,2.4,0.1,1.1,2.3,0.5,0.1,1.2,1,,,,
1016,Mateen Cleaves,78,16.3,5.4,2.1,5.1,0.1,0.2,1.2,1.8,0.3,1.4,2.7,0.6,0.0,1.8,1,,,,
1017,Mike Penberthy,53,16.1,5.0,1.7,4.2,1.0,2.6,0.5,0.6,0.2,1.0,1.3,0.4,0.0,0.6,0,,,,
1018,Lee Nailon,42,11.2,3.9,1.6,3.2,0.0,0.0,0.8,1.0,0.7,1.5,0.6,0.2,0.1,0.6,1,,,,
1019,Eddie House,50,11.0,5.0,2.1,4.9,0.4,1.1,0.5,0.7,0.1,0.7,1.0,0.3,0.0,0.7,1,,,,
1020,Paul McPherson,55,10.8,4.8,2.0,3.9,0.0,0.2,0.8,1.1,0.7,0.7,0.7,0.5,0.1,0.8,0,,,,
1021,Daniel Santiago,54,10.8,3.1,1.2,2.5,0.0,0.0,0.8,1.1,0.6,1.2,0.2,0.3,0.4,0.9,0,,,,
1022,Isaiah Whitehead,25,22.6,6.7,2.6,6.4,0.5,1.8,0.9,1.2,0.2,2.0,3.0,0.7,0.5,2.2,0,,,,
1023,Darrun Hilliard,38,10.1,4.0,1.4,3.4,0.5,1.3,0.8,1.1,0.1,1.1,0.7,0.2,0.0,0.5,0,32.0,1626199.0,Darrun Hilliard,2015.0
1024,Mark Madsen,70,9.2,2.0,0.8,1.6,0.0,0.0,0.4,0.5,1.1,1.1,0.3,0.1,0.1,0.4,1,,,,
1025,DeShawn Stevenson,40,7.3,2.2,0.8,2.3,0.0,0.3,0.7,1.0,0.2,0.5,0.5,0.3,0.1,0.7,1,,,,
1026,Elton Brand,81,37.0,20.1,7.8,16.1,0.0,0.0,4.5,6.6,4.3,5.7,1.9,0.8,1.6,2.8,1,,,,
1027,Lamar Odom,76,36.4,16.6,5.9,13.5,0.8,2.2,4.0,5.5,2.1,5.7,4.2,1.2,1.3,3.4,1,,,,
1028,Steve Francis,77,36.1,18.0,6.5,14.5,1.4,4.0,3.7,4.7,2.0,3.3,6.6,1.5,0.4,4.0,1,,,,
1029,Metta World Peace,72,31.1,12.0,4.3,10.5,0.8,2.7,2.6,3.9,0.9,3.4,2.8,1.6,0.5,2.3,1,,,,
1030,Walt Szczerbiak,73,29.7,11.6,4.7,9.2,0.4,1.1,1.8,2.2,1.2,2.5,2.8,0.8,0.3,1.1,0,,,,
1031,Adrian Griffin,72,26.8,6.7,2.4,5.7,0.2,0.8,1.7,2.2,1.8,3.4,2.5,1.6,0.2,1.3,1,,,,
1032,Andre Miller,82,25.5,11.1,4.1,9.2,0.1,0.6,2.8,3.6,1.0,2.4,5.8,1.0,0.2,2.0,1,,,,
1033,James Posey,81,25.3,8.2,2.8,6.6,1.0,2.7,1.5,1.9,1.0,2.9,1.8,1.2,0.4,1.2,1,,,,
1034,Kenny Thomas,72,25.0,8.3,2.9,7.4,0.4,1.7,1.9,2.9,2.0,4.0,1.6,0.8,0.3,1.6,1,,,,
1035,Shawn Marion,51,24.7,10.2,4.4,9.2,0.1,0.4,1.4,1.7,2.1,4.5,1.4,0.8,1.0,1.0,1,,,,
1036,Vonteego Cummings,75,23.9,9.4,3.5,8.7,0.7,2.0,1.7,2.3,0.8,1.7,3.3,1.2,0.2,1.8,0,,,,
1037,Anthony Carter,79,23.5,6.3,2.5,6.4,0.0,0.3,1.2,1.6,0.6,1.9,4.8,1.2,0.1,2.2,1,,,,
1038,Jason Terry,81,23.3,8.1,3.1,7.4,0.6,1.9,1.4,1.7,0.3,1.8,4.3,1.1,0.1,1.9,1,,,,
1039,Chucky Atkins,82,19.8,9.5,3.8,9.0,0.7,2.0,1.2,1.6,0.2,1.3,3.7,0.6,0.0,1.7,1,,,,
1040,Richard Hamilton,71,19.3,9.0,3.6,8.5,0.4,1.1,1.5,1.9,0.5,1.3,1.5,0.4,0.1,1.2,1,,,,
1041,Greg Buckner,48,19.2,5.7,2.3,4.9,0.2,0.5,0.9,1.3,1.2,2.5,1.1,0.8,0.4,0.8,1,,,,
1042,Langston Galloway,45,32.4,11.8,4.5,11.4,1.4,3.9,1.4,1.7,0.8,3.4,3.3,1.2,0.3,1.4,0,,,,
1043,Baron Davis,82,18.6,5.9,2.2,5.3,0.3,1.4,1.2,1.9,0.6,1.4,3.8,1.2,0.2,1.7,1,,,,
1044,Corey Maggette,77,17.8,8.4,2.9,6.1,0.0,0.1,2.5,3.4,1.6,2.3,0.8,0.3,0.3,1.8,1,,,,
1045,Eddie Robinson,67,16.6,7.0,3.2,5.8,0.0,0.1,0.7,1.0,0.8,1.9,0.5,0.7,0.4,0.6,1,,,,
1046,Michael Ruffin,71,13.7,2.2,0.8,1.9,0.0,0.0,0.6,1.2,1.6,1.9,0.6,0.4,0.4,0.8,1,,,,
1047,Chris Herren,45,13.3,3.1,1.0,2.8,0.5,1.5,0.6,0.9,0.3,0.9,2.5,0.3,0.0,0.9,0,,,,
1048,Quincy Lewis,74,12.1,3.8,1.5,4.0,0.3,0.9,0.5,0.7,0.6,0.9,0.5,0.3,0.2,0.6,0,,,,
1049,Ryan Bowen,52,11.3,2.5,0.9,2.3,0.0,0.2,0.7,1.0,1.4,0.8,0.4,0.8,0.3,0.3,1,,,,
1050,Cal Bowdler,46,9.2,2.7,1.1,2.5,0.0,0.0,0.5,0.8,0.5,1.4,0.3,0.3,0.2,0.5,0,,,,
1051,Scott Padgett,47,9.2,2.6,0.9,3.0,0.3,0.9,0.4,0.6,0.5,1.4,0.5,0.3,0.2,0.5,1,,,,
1052,Nerlens Noel,75,30.8,9.9,4.0,8.7,0.0,0.0,1.9,3.1,2.5,5.7,1.7,1.8,1.9,1.9,0,,,,
1053,Roy Rogers,40,8.9,2.2,0.9,2.2,0.0,0.0,0.5,1.0,0.8,1.2,0.2,0.1,0.9,0.3,0,,,,
1054,William Avery,59,8.2,2.6,0.9,3.1,0.3,1.1,0.4,0.6,0.1,0.5,1.5,0.2,0.0,0.7,0,,,,
1055,Milt Palacio,53,7.4,2.0,0.8,1.8,0.0,0.0,0.4,0.7,0.3,0.6,0.9,0.4,0.0,0.8,1,,,,
1056,Devean George,49,7.0,3.2,1.1,2.9,0.3,1.0,0.6,0.8,0.6,0.9,0.2,0.2,0.1,0.4,1,,,,
1057,Lari Ketner,22,6.0,1.5,0.6,1.5,0.0,0.0,0.4,0.5,0.5,1.0,0.0,0.2,0.1,0.5,0,,,,
1058,Jason Williams,50,36.1,12.8,4.6,12.3,2.0,6.5,1.6,2.1,0.3,2.8,6.0,1.9,0.0,2.9,1,,,,
1059,Vince Carter,50,35.2,18.3,6.9,15.3,0.4,1.3,4.1,5.4,1.9,3.8,3.0,1.1,1.5,2.2,1,,,,
